微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
J2nzK5Aic,今天思酱为什么不发微博因为今天睡了一天和小王打电话真是太好睡了小王：（思酱催眠工具人）  原图 ,,http://wx2.sinaimg.cn/large/88ebec00ly1gevqggxsjoj20ku112gxj.jpg,无,无,2020-05-17 20:46,iPhone 8,5,1,0
J2eDwpNms,世纪名场面！！！！牛鹿桃合体！！！！我一个不追星的人都感动的想哭鹅真的太会了  创的妹妹们实力也都好强  [组图共3张] 原图 ,,"http://ww3.sinaimg.cn/large/88ebec00ly1geun0dgbkdj21120ku1kz.jpg,http://ww1.sinaimg.cn/large/88ebec00ly1geun0f8t6gj21120kue83.jpg,http://ww4.sinaimg.cn/large/88ebec00ly1geun0h1677j21120kuqv7.jpg",无,无,2020-05-16 22:00,iPhone 8,5,1,0
J2a4bFIYf,这世上本来没有讨厌的明星爱豆恶臭的脑残粉丝多了 就上升到蒸煮了  ,,无,无,无,2020-05-16 10:22,iPhone 8,2,0,2
J2001xaAG,满脑子都是好妹妹那句：“要是你在就好了”  ,,无,无,无,2020-05-15 08:45,iPhone 8,7,0,0
J1QVR6a1I,每天早上醒来习惯了先刷一遍朋友圈我喜欢早上 总觉得早上充满了希望今天早上刷到这条朋友圈 我真的难受的窒息做个病人好难 她那么那么努力的想活下去她是我刚生病就认识的一个很漂亮的女孩子也是她给我很大的鼓励 和斗志我很长一段时间甚至把她当成榜样 她很坚强 也很努力的想活下去很可爱 漂亮女孩一点也没有架子开导我 给我介绍医生 让我不要害怕我们还约好等她好了去长沙我要请她吃好吃的 其实她是我这个月知道的离开的第四个病友了以往也有  但这是我唯一发的一条微博不是其他病友不值得 只是我越来越不爱去分享这些不开心的事情春天啊 每次出门 马路边绿意盎然的树仿佛都在告诉我 一切都好起来了啊 都会好起来的啊人们应该开心 快乐  充满生机 希望情绪不应该被不好的消息左右的移植后我尽量屏蔽那些不快乐因素也不去抱怨 每过一天我就告诉自己 明天也要开开心心 上天一定有好生之德如果这条微博打扰到你 实在抱歉这是唯一也是最后一条                  原图                             ,,http://wx4.sinaimg.cn/large/88ebec00ly1gerqdjlj9tj20ku0k6n0b.jpg,无,无,2020-05-14 09:40,iPhone 8,13,0,6
J1IHwmeJ8,爸爸改善的伙食之辣椒炒肉不说了这一顿是我三个月以来吃的最香的一顿  原图 ,,http://wx3.sinaimg.cn/large/88ebec00ly1geqq0ldnonj21hc1hcb29.jpg,无,无,2020-05-13 12:42,iPhone 8,6,0,7
J1GXVDeG5,剩下的话 我们悄悄说 微博视频  ,,无,无,无,2020-05-13 08:17,微博视频,11,1,4
J1za5wQFt,娘回克了又剩下我和爹相依为命了娘一走爹就给改善伙食了这酱香排骨是相当的香。  原图 ,,http://wx1.sinaimg.cn/large/88ebec00ly1gepjwgrc4yj21hc1hce81.jpg,无,无,2020-05-12 12:25,iPhone 8,3,0,9
J1oWCtx1A,美好的一天从早上堵车，以为自己今天又要排很长队伍，直到到医院才发现大家都堵在路上我到的还挺早的[为爱发光]门诊抽血碰到住院护士小哥哥和小姐姐，结果给我扎的血滋乱窜的，我说换个地儿扎还不乐意，好不容易三管血抽完了，我到家了跟我说下午去补一管我从今天起再也不喜欢那个酸奶味儿的护士小哥哥了！！每次换膜的时候，就是我听护士姐姐们讲八卦的时候了，哈哈哈一说这个话题我就来劲了今日话题是渣男，姐姐们一致跟我说，渣男这玩意儿，就和垃圾食品一样对身体不好但是香说着说着甚至姐姐们都后悔自己没体验过渣男就早早嫁了。开始🔛             [组图共2张]      原图                             ,,"http://ww2.sinaimg.cn/large/88ebec00ly1geoam07tv0j21hc1hcb29.jpg,http://ww4.sinaimg.cn/large/88ebec00ly1geoam0xuyej21hc1hce81.jpg",无,无,2020-05-11 10:25,iPhone 8,5,0,2
J1f9C6sth,看完创第二期真的太香了，我真的要窒息！在刘梦这里了！田京凡沙雕出圈唱歌nice！！王柯也好厉害！！妹妹们给我冲！！首页有一起看创的姐妹吗！！  [组图共2张] 原图 ,,"http://ww3.sinaimg.cn/large/88ebec00ly1gen3gavht9j21120ku1kz.jpg,http://ww2.sinaimg.cn/large/88ebec00ly1gen3gc7558j21120kub2b.jpg",无,无,2020-05-10 09:29,iPhone 8,2,0,4
J1emv1589,激素真是害人精，不加激素又不行  ,,无,无,无,2020-05-10 07:28,iPhone 8,1,0,0
J15fSBDZS,23岁生日快乐22岁的时候以为自己到头了你看我又赢来了一岁和往常不一样的是今年的生日没有朋友没有蛋糕和蜡烛去年许的生日愿望今年依旧希望大家都能传来好消息  ,,无,无,无,2020-05-09 08:17,iPhone 8,25,0,14
J0YZerqJz,这一期创作人 我终于get到了隔壁老樊！！！！！！郑钧这期也很🉑！！我粒姐依旧🐮🍺！ 这一期是最好看的一期了创作人太好看辽  ,,无,无,无,2020-05-08 16:20,iPhone 8,9,0,4
J0YnBhtoL,可能是最近总是听到病友离开的消息情绪难免有点起伏 好在这几天特别困 大部分时间都在睡觉 没有时间去想太多移植后 每当一天顺利过完 我就会庆幸仿佛打了一场胜利的仗 我又赢了一天我已经向上帝赢来73天了 明天过生日 中午妈妈和爸爸在外面争我到底多少岁了争论了好久  多少岁不重要了 往后的每一天都是值得庆祝的“生日”印象里有记性以来 还是第一次和爸爸妈妈一起过生日                                 ,,无,无,无,2020-05-08 14:47,iPhone 8,11,0,6
J0MNuwZpE,昨天和爹骑电动车去看门诊我突然发现北方比我想的要温柔浪漫的多随处可见的银杏树 春天里绿油油看起来一切都有希望的样子 等到秋天的时候 金黄的银杏叶🍂铺满地 一定浪漫的不行  [组图共4张] 原图 ,,"http://ww4.sinaimg.cn/large/88ebec00ly1gejm6nsenjj227t27thdt.jpg,http://ww3.sinaimg.cn/large/88ebec00ly1gejm6p6ng9j21ob1ob7wi.jpg,http://ww2.sinaimg.cn/large/88ebec00ly1gejm6mgwfmj22c02c0qhz.jpg,http://ww4.sinaimg.cn/large/88ebec00ly1gejm9u5kz2j20f409a40h.jpg",无,无,2020-05-07 09:18,iPhone 8,9,0,4
J0DPEbGA5,磕到了#爱，籽，花[音乐]#  [组图共3张] 原图 ,,"http://ww2.sinaimg.cn/large/88ebec00ly1geihquqqrbj21120kuq5u.jpg,http://ww3.sinaimg.cn/large/88ebec00ly1geihqvahanj21120kutbr.jpg,http://ww2.sinaimg.cn/large/88ebec00ly1geihqtnfi7j21120kujud.jpg",无,无,2020-05-06 10:28,iPhone 8,7,0,0
J0DlNy73b,最怕早上传来不好的消息一整天都会不太快乐希望你们在另一个世界快乐下辈子不要再生病了  ,,无,无,无,2020-05-06 09:15,iPhone 8,4,1,0
J0woC8RSV,搞点蛋糕给爹妈778虽然我抖的像个缝纫机但是我还是搞出来了新买滴床单 好好看明天又要去看主任辽  [组图共6张] 原图 ,,"http://ww4.sinaimg.cn/large/88ebec00ly1gehlye1a20j21hc1hckjl.jpg,http://ww1.sinaimg.cn/large/88ebec00ly1gehlyf4k54j21hc1hcnpd.jpg,http://ww3.sinaimg.cn/large/88ebec00ly1gehlygxyxuj21hc1hcqv5.jpg,http://ww1.sinaimg.cn/large/88ebec00ly1gehlyhrxo0j21hc1hc7wh.jpg,http://ww3.sinaimg.cn/large/88ebec00ly1gehlyioqjcj21hc1hcnpd.jpg,http://ww4.sinaimg.cn/large/88ebec00ly1gehlydee4nj20u00siwjc.jpg",无,无,2020-05-05 15:33,iPhone 8,8,0,9
J0nq3b16j,三个月前你每天陪我在病房里三个月后再见面晚饭后我们手牵手去散步我画画你在旁边看纪录片我们一起坐在沙发上看电视爸妈不在家的时候你也可以很好的照顾我给我做饭开始期待下次见面  我会更好的  一定会的Luv u 别再说思酱没得感情辽   [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/88ebec00ly1geghul935lj213x0u0k8d.jpg,http://ww1.sinaimg.cn/large/88ebec00ly1geghuvo3wfj22c02c07wi.jpg",无,无,2020-05-04 16:41,iPhone 8,8,0,11
J0lzPn2f4,每周一难熬的早上六点半醒来 七点出门 七点半到医院 排队 抽血 换膜 十点到家给我饿懵逼了 血项这个东西我不强求了 够用就行了 看开了我刚来燕郊的时候 这儿是枯的 路边还堆着雪 转眼快三个月过去了 抬头一看 都是春天滴颜色啦万物复苏 大家都好起来 都给我冲 廊坊·燕郊             [组图共2张]      原图                             ,,"http://ww4.sinaimg.cn/large/88ebec00ly1gega5kvj28j20pg0pgq8u.jpg,http://ww2.sinaimg.cn/large/88ebec00ly1gega5mo9t8j22c0340hdv.jpg",无,无,2020-05-04 12:00,iPhone 8,9,0,1
J0gqrdGfG,我发现了 我妈妈是会敲门的 当小王在我房间的时候  ,,无,无,无,2020-05-03 22:53,iPhone 8,4,0,2
J0ft2fY6E,和我滴长期战略合作伙伴🤝 微博视频 喜欢你  ,,无,无,无,2020-05-03 20:27,微博视频,6,0,1
J0d1nlV5M,如果你看过我以前的微博就知道我的生活有多么丰富几乎每天的酒精 不定时的旅行 喜欢的鲜花 每年新的学习  就在身边的好朋友 爱自己的父母还有爱美又爱吃的自己可能从来都没经历过大的打击 从小被捧着长大 再然后被身边朋友爱着 从来不会想自己会发生什么很不幸的事 拥有这些就很幸福了吧以前喝酒喝的不省人事 难受的第二天去医院打吊针的时候 没觉得自己有多难受出去旅行一个人 陌生的地方找不到路的时候没觉得有多害怕明明知道吃了会肠胃痛的东西 还是要吃 最后吃了疼的打滚的时候 也没觉得有多疼直到生这病以后才知道 我超级怕疼 难受的时候也特别丧 怕死因为知道了这一次 能看到生命的尽头因为总是比较活跃 常常被人夸我心态好好看起来恢复的也很好 其实有些该疼的 该遭的罪我不比任何人差半分 该吃不下饭的时候 我也在吃不下 该难受的打滚的时候我也难受的不行我也有时候大把的眼泪可是没办法呀 你开心点 起码痛轻一点你想的开一点 快乐一点 努力一点这些痛就是有尽头的  佛也渡不了一心想寻死的人前面等你的 是无限的 美好生活啊[加油]希望大家一起加油 来人间一趟 好好生活 好好爱自己                  原图                             ,,http://wx3.sinaimg.cn/large/88ebec00ly1gef8fas4yqj20dn0dn0td.jpg,无,无,2020-05-03 14:13,iPhone 8,26,1,9
J0avk5MVP,对这个世界慷慨，世界才会对你慷慨  ,,无,无,无,2020-05-03 07:49,iPhone 8,2,0,0
IFUnXj1hL,妈妈说破洞裤好看 廊坊  显示地图 原图 ,,http://wx2.sinaimg.cn/large/88ebec00ly1ged9dgdeguj20yw0ywtil.jpg,无,无,2020-05-01 21:15,iPhone 8,7,0,2
IFPDxxIbm,五月太好了每一天都会很好更好超级好我是 大家也是  原图 ,,http://wx1.sinaimg.cn/large/88ebec00ly1gecog9g42lj20dc0dct9x.jpg,无,无,2020-05-01 09:10,iPhone 8,9,0,4
IFNaHv1GE,五月的第一天失眠 比膀胱炎还失眠  ,,无,无,无,2020-05-01 02:53,iPhone 8,1,0,0
IFKxotIjU,“我的出现并不是让你失去谁，而是多了一个爱你的人”太好哭了  原图 ,,http://wx4.sinaimg.cn/large/88ebec00ly1gec1x3cnduj20gq0g10zn.jpg,无,无,2020-04-30 20:11,iPhone 8,4,0,0
IFHeKgW08,#记忆中夏天最美好的样子#是这样这样这样的！！！！  [组图共9张] 原图 ,,"http://ww3.sinaimg.cn/large/88ebec00ly1gebnczlpopj22c02c01j3.jpg,http://ww4.sinaimg.cn/large/88ebec00ly1gebncytbz8j20x50x5zyq.jpg,http://ww4.sinaimg.cn/large/88ebec00ly1gebncy3coij234022okjo.jpg,http://ww1.sinaimg.cn/large/88ebec00ly1gebnd1zcr3j22c02c0x6t.jpg,http://ww2.sinaimg.cn/large/88ebec00ly1gebncvkeq5j22c02c07wh.jpg,http://ww1.sinaimg.cn/large/88ebec00ly1gebnd2ru62j20ku0rsk6s.jpg,http://ww1.sinaimg.cn/large/88ebec00ly1gebnd5iq6bj22ds1sg7wp.jpg,http://ww2.sinaimg.cn/large/88ebec00ly1gebncumt63j20qo0zk7wh.jpg,http://ww4.sinaimg.cn/large/88ebec00ly1gebnd7gjsaj21sg1sgb2d.jpg",无,无,2020-04-30 11:47,iPhone 8,9,1,3
IFFhNDebI,我每天吃的那么多肉嘞  [组图共2张] 原图 ,,"http://ww4.sinaimg.cn/large/88ebec00ly1gebeqpsu4fj20tu0tuney.jpg,http://ww3.sinaimg.cn/large/88ebec00ly1gebeqp59iuj20j60j6myk.jpg",无,无,2020-04-30 06:49,iPhone 8,2,0,2
IFA7Y0nJJ,[冰雪奇缘雪宝][冰雪奇缘雪宝][冰雪奇缘雪宝][冰雪奇缘雪宝][冰雪奇缘雪宝]看完主任门诊回来再一次许愿成功减药了晚上基本没几颗药了  原图 ,,http://wx2.sinaimg.cn/large/88ebec00ly1gearzdtz7aj20j60j6myk.jpg,无,无,2020-04-29 17:41,iPhone 8,5,0,0
IFsP10hQx,我和小王打电话我妈突然冲进来问我在干嘛我说我和小王在打电话我妈：“小王，阿姨好想你。过来玩呀”电话那边的小王 笑开了花小王也天天念叨想我妈 想我妈做的菜这俩才是一家人   ,,无,无,无,2020-04-28 23:05,iPhone 8,6,0,1
IFrvlttGK,+63天今天我又精进了出门散步了图三和我爸 来自我妈朋友圈截图[冰雪奇缘雪宝]  [组图共4张] 原图 ,,"http://ww1.sinaimg.cn/large/88ebec00ly1ge9pvcfasuj23402c0npd.jpg,http://ww2.sinaimg.cn/large/88ebec00ly1ge9pvewzh9j23402c0e81.jpg,http://ww4.sinaimg.cn/large/88ebec00ly1ge9pvgff2rj20ku0n9131.jpg,http://ww2.sinaimg.cn/large/88ebec00ly1ge9pvik0j9j20ku112b29.jpg",无,无,2020-04-28 19:44,iPhone 8,13,0,1
IFp8kqCPy,万物皆有不同比如  我有你而他们没有  原图 ,,http://wx3.sinaimg.cn/large/88ebec00ly1ge9ffv4wkhj20k00k0wj3.jpg,无,无,2020-04-28 13:41,iPhone 8,5,0,0
IFhvC3bpi,+62天出院后第一次查血血常规有长进 在家待了几天血项自己涨上来了👏Eb和巨细胞病毒 阴👏生化 比在医院要好👏许愿成功  周三去看主任门诊看会不会给我减药有时候想想 要是不生这个病的话  这么多钱 买点啥不行然后又想 不生病 我也不会有这么多钱是猛男 就该穿粉色[冰雪奇缘雪宝]被几个护士姐姐夸好看的粉色匡威                  原图                             ,,http://wx2.sinaimg.cn/large/88ebec00ly1ge8hr0v2lbj21hc1hcu0x.jpg,无,无,2020-04-27 18:17,iPhone 8,7,0,9
IFa6Jdf7f,告五人《与海无关 (Demo)》与海无关 (Demo)（@网易云音乐）Demo也好听！晚安[冰雪奇缘雪宝]明天一切顺利  ,,无,无,无,2020-04-26 23:26,iPhone 8,0,0,0
IF88fjgUz,告五人《说我爱你的一百种方式》说我爱你的一百种方式（@网易云音乐）对新歌还有点失望呢 一看词曲都不是云安写的 才发现是一首改编歌改编自日本乐队THURSDAY’S YOUTH  ,,无,无,无,2020-04-26 18:24,iPhone 8,1,0,0
IF4YFvgRR,我永远爱你事事有回应  原图 ,,http://wx4.sinaimg.cn/large/88ebec00ly1ge6ygfha6dj20sg0sggph.jpg,无,无,2020-04-26 10:23,iPhone 8,5,0,0
IEQyy1iUK,歌手：小品之年剧本杀 恭喜亲儿子歌王👏👏  ,,无,无,无,2020-04-24 21:40,iPhone 8,1,0,1
IEMiiclnd,住院整130天出院啦[冰雪奇缘雪宝][冰雪奇缘雪宝][冰雪奇缘雪宝][冰雪奇缘雪宝]  原图 ,,http://wx2.sinaimg.cn/large/88ebec00ly1ge4nylx4o1j20z60u0n7q.jpg,无,无,2020-04-24 10:49,iPhone 8,10,0,7
IELXCBrTJ,看完婧后小朋友 你秃秃的脑袋是否有很多问号牛姐你到底唱的是啥啊  ,,无,无,无,2020-04-24 09:58,iPhone 8,3,0,1
IEHvAkcNR,#马頔淘汰#能让我碎嘴大爷回来吗  ,,无,无,无,2020-04-23 22:38,iPhone 8,0,0,1
IEGcI9RPT,所有人都有道理  原图 ,,http://wx2.sinaimg.cn/large/88ebec00ly1ge3x3a0d5tj20ji0gswfs.jpg,无,无,2020-04-23 19:19,iPhone 8,1,0,1
IECmOm7dt,罗志祥真是。。震撼我亲妈好嘛。。那些年我磕过的cp都黄了再也不磕了  ,,无,无,无,2020-04-23 09:32,iPhone 8,6,0,8
IEx0xeHM0,我准备去把我几百年没看过的歌手重新看一下了新裤子和林俊杰还有马思唯就这！就这！就这！！给我看！  原图 ,,http://wx2.sinaimg.cn/large/88ebec00ly1ge2sha1hpxj20b00avdg9.jpg,无,无,2020-04-22 19:54,iPhone 8,5,0,0
IEventBPa,想起想在长沙的主任跟我爸妈说你家孩子年纪不大 身体挺能 全耐药感染它又来了 这回又要门诊买抗生素了  原图 ,,http://wx2.sinaimg.cn/large/88ebec00ly1ge2kme6iozj20t40gejup.jpg,无,无,2020-04-22 15:22,iPhone 8,2,0,0
IEsYv85Bj,林依晨《你(吉他甜蜜版)》你(吉他甜蜜版)（@网易云音乐）you are my today and all of my tomorrows  ,,无,无,无,2020-04-22 09:38,iPhone 8,0,0,0
IEmV6maY4,最爱你 当远处传来你得相思  ,,无,无,无,2020-04-21 18:13,iPhone 8,4,0,0
IEeIgd1i3,126天了一天也没离开过病床 无缝接轨住院从长沙到燕郊翻到第一天住院的朋友圈恍若隔世 我已经从化疗到移植完快两个月了中间经历的那些苦痛磨难 真的不敢回看往后还要经历的未知惊险 也不敢想这些日子 看着一些病友的离去对心理打击也很大 也会怕哪天会像他们一样 生命的庄严 还真的容不得半点忽视希望大家和我都好好的 冲鸭❤             [组图共2张]      原图                             ,,"http://ww3.sinaimg.cn/large/88ebec00ly1ge0jpbuy6gj20ku112qv5.jpg,http://ww2.sinaimg.cn/large/88ebec00ly1ge0jpddc2gj20ku112x15.jpg",无,无,2020-04-20 21:19,iPhone 8,6,0,19
IEd0J8gDr,感动天感动地一天几千的小茅台挂着 病毒终于阴了在医院住了四个多月 周五终于可以出院了  [组图共2张] 原图 ,,"http://ww4.sinaimg.cn/large/88ebec00ly1ge0c74z2nij20ku112wiu.jpg,http://ww4.sinaimg.cn/large/88ebec00ly1ge0c73yyv0j20ku112q7f.jpg",无,无,2020-04-20 16:59,iPhone 8,7,0,6
IEc3P7rY5,我再也不盲目自信了以前老说自己不出血 这两天鼻血哗啦啦流每次都是四五个棉球教我做人  ,,无,无,无,2020-04-20 14:34,iPhone 8,1,0,4
IEaAawWVM,看完我是唱作人 有一说一我觉得张艺兴那首joker还挺🉑的  ,,无,无,无,2020-04-20 10:48,iPhone 8,10,0,2
IE19OtFFx,http://t.cn/A6wODKXj是的你们的思思又需要你们的帮助了目前为止经历两家医院，从化疗到移植总共花费近70万图一是来北方医院从住院到移植完出仓的结算单，图二是出仓到今天的缴费金额。这还不算自费昂贵的外购药虽然已经移植完了，这才是万里长征第一步。移植有价，排异无价。后期抗排异之路还有很远。一人生病，全家北漂，爸妈为了照顾我，家里已经没有收入了。面对昂贵的自费药，和医疗费，逼不得已走这一步。             [组图共7张]      原图                             ,,"http://ww3.sinaimg.cn/large/88ebec00ly1gdyvlacrj4j20wn0ltaeq.jpg,http://ww1.sinaimg.cn/large/88ebec00ly1gdyvl9ri3ej20t60u142p.jpg,http://ww1.sinaimg.cn/large/88ebec00ly1gdyvlaqkvgj20ku11240l.jpg,http://ww3.sinaimg.cn/large/88ebec00ly1gdyvtyha4aj20j20twk6v.jpg,http://ww1.sinaimg.cn/large/88ebec00ly1ge001yivs8j20u014q42b.jpg,http://ww2.sinaimg.cn/large/88ebec00ly1ge001yve6rj20go0p0jtk.jpg,http://ww2.sinaimg.cn/large/88ebec00ly1ge0joepu2gj20iq0ow0uw.jpg",无,无,2020-04-19 10:49,iPhone 8,6,2,8
IDTewDhz4,痛仰乐队《为你唱首歌》为你唱首歌（@网易云音乐）  ,,无,无,无,2020-04-18 14:38,iPhone 8,0,1,0
IDLyOlQyk,移植后的第二次骨穿嵌合率100% 残留0现在身体里都是爸爸的细胞了我得坏细胞没有没有辽优秀💯  原图 ,,http://wx1.sinaimg.cn/large/88ebec00ly1gdwz0tlkj5j20ia0eb764.jpg,无,无,2020-04-17 19:06,iPhone 8,16,0,10
IDI9JjWTv,今天是值得开心的一天新买的杯几碰个杯🍻万事如意开始期待下周五(不是我生日，身份证上的农历)  [组图共3张] 原图 ,,"http://ww2.sinaimg.cn/large/88ebec00ly1gdwjz9m6acj20ku0gjabh.jpg,http://ww3.sinaimg.cn/large/88ebec00ly1gdwjzafxj1j20u00u0wiw.jpg,http://ww3.sinaimg.cn/large/88ebec00ly1gdwjz9z709j20ku0osn0p.jpg",无,无,2020-04-17 10:26,iPhone 8,11,0,3
IDCCmkpZ1,很多人没有关注我，我却是他们经常访问的第一名  ,,无,无,无,2020-04-16 20:20,iPhone 8,10,0,12
IDl8PBZ8H,旅行团《逝去的歌》逝去的歌（@网易云音乐）  原图 ,,http://wx1.sinaimg.cn/large/88ebec00ly1gdtqe43qs2j20tg0ckwgn.jpg,无,无,2020-04-14 23:51,iPhone 8,3,0,0
IDgjmrlEj,#身体上感到最疼的一次经历#当然是骨穿啦  ,,无,无,无,2020-04-14 11:33,iPhone 8,1,0,7
IDfpbsmsv,明天骨穿我从今天开始疼  ,,无,无,无,2020-04-14 09:15,iPhone 8,0,0,4
IDb2mpTmm,希望我爹妈能明白 15得板和60得血红真的不够用  ,,无,无,无,2020-04-13 22:08,iPhone 8,0,0,2
ID4NK7G3w,我并没有喜欢哪种类型的人我喜欢你就只喜欢你  ,,无,无,无,2020-04-13 06:15,iPhone 8,2,0,0
ICWtU6C6w,有的人比较不幸想你只能听歌 喝酒 走夜路  ,,无,无,无,2020-04-12 09:04,iPhone 8,2,0,0
ICQdihD57,+46天私聊太多了就不一一回复了移植后的80%都会得膀胱炎(尿急 尿频 尿疼 尿血)我并没有在那幸运的20%里之前一直是轻微的昨天还在说膀胱炎好转 主任说后面可以出院了今天就开始尿血了让原本不富裕得血红 更加雪上加霜了  尿频也加重了 没办法休息 恨不得一天24小时坐在坐便器上 自从膀胱炎以后 我已经很久没有睡过一个整觉了半个月又瘦了8斤 每天吃还是瘦没得办法 日日难熬日日熬 医生说现在问题还不大[发抖]好好坚持吧[加油]                  原图                             ,,http://wx2.sinaimg.cn/large/88ebec00ly1gdpxu99amjj20hs23l7cg.jpg,无,无,2020-04-11 17:07,iPhone 8,5,0,2
ICNBu1SvY,美女叹气  原图 ,,http://wx4.sinaimg.cn/large/88ebec00ly1gdpmbfhy7pj20u00u07a9.jpg,无,无,2020-04-11 10:28,iPhone 8,2,0,0
ICFo0euGi,太容易不快乐了  ,,无,无,无,2020-04-10 13:33,iPhone 8,4,0,3
ICtrs34Ot,盘尼西林乐队《New Boy (Live)》 New Boy @QQ音乐  ,,无,无,无,2020-04-09 07:09,iPhone 8,1,0,0
